id,priority,stage,area,current_gap,implementation,depends_on,acceptance,sources,code_areas,status
LM-001,P0,A,Pilot contract and capability checks,No agreed operational MDM domain or performance envelope,Choose company/supplier granularity; define role matrix and workload; check Lakebase/auth/serving feature availability; declare an untouched evaluation plan,,Signed domain/schema and measurable latency/freshness/cost envelope; preview dependencies and fallback choices recorded,LF08;LF09;D01;D03;D04;E01;E03,spec/;examples/;bench/,done
LM-002,P0,A-B,Candidate coverage,BPID and affiliations lose many positives before scoring,Evaluate domain normalization and complementary exact/lexical/semantic candidate unions with method provenance and existing budgets,LM-001,Candidate recall and truncation measured on declared validation tasks; proposed >=95% recall within pair/join budgets; sealed confirmation evidence unchanged,D02;D21;E01;E04,src/lakematch/blocking.py;src/lakematch/candidates.py;src/lakematch/features.py,done
LM-003,P0,A-B,Domain and mapping registry,Flat per-run engine configuration lacks approved domain/source contracts,Add typed versioned domain schemas and source mappings; import preview and schema drift handling; keep v1 config readable,LM-001,Two source schemas map reproducibly to one domain; incompatible drift and missing required fields fail visibly; approved versions accompany each job,LF03;LF08;E03,src/lakematch/config.py;new app domain/mapping services,done
LM-004,P0,B,Persistent business identity,Minimum-member hashing can rekey an operational master,"Add transactional ID allocation, aliases and identity event history behind a policy adapter",LM-003;LM-007,Earlier-sorting member changes preserve public IDs; merge survivor and split restoration policy replay; old benchmark IDs still resolve,LF08;E06,src/lakematch/identity.py;src/lakematch/cluster_job.py;new identity registry,proposed_not_started
LM-005,P0,B,Scalar survivorship,Matching outputs do not choose a trusted value per field,Build ordered override/source-priority/quality/freshness policies with explicit null and deterministic tie semantics,LM-003;LM-004,Conflicting company records produce identical golden values on rerun; source deletion and invalid values follow approved policy,LF04;LF08;E06,new src/lakematch/mastering/,proposed_not_started
LM-006,P0,B,Winning-value provenance,No attribute-level decision journal,"Store source record versions, policy version, overrides, value hashes and selection reasons for each published field",LM-005,Every winning field explains source and rule; historic master revision remains explainable after source updates,LF08;D10;E06,new src/lakematch/mastering/lineage.py;new entity detail API,proposed_not_started
LM-007,P0,A-C,Transactional workflow adapter,Delta review store has one process lock and bounded snapshots,"Add Postgres/Lakebase migrations for leases, revisions, immutable decisions and idempotency keys; retain SQLite fixtures and old receipt adapter",LM-001,Concurrent claims have one winner; stale revisions conflict; retries return same receipt; crash/restart preserves tasks and decisions,D03;D05;D09;E05,app/src/lakematch_review/backend/store.py;new migrations/,in_progress
LM-008,P0,A-C,Domain and action authorization,Actor attribution is not per-user object authorization,Add Viewer/Steward/Approver/Engineer/Admin policy; delegated UC access where appropriate; scoped Postgres roles and protected caches,LM-003;LM-007,"Allow/deny matrix covers fields, domain objects, mutation actions and revocation; forbidden records never appear in search or cached graph paths",LF03;LF07;D01;D02;D04;D05;D22;E05,app/src/lakematch_review/backend/;new policy service,in_progress
LM-009,P0,B-C,Command publication and recovery,Existing snapshot publisher lacks operational command lifecycle,"Extend publication manifest with approved command watermark; outbox consumer, idempotent publication reconciliation and analytic audit export",LM-004;LM-005;LM-006;LM-007,Crash before commit or after Delta commit before acknowledgement cannot double-apply; app shows pending versus published; coherent snapshot can be restored,D08;D09;D16;E06,src/lakematch/publication.py;src/lakematch/delta_publication.py;new outbox worker,proposed_not_started
LM-010,P0,C,Entity explorer and steward inbox,App is pair-review oriented,"Add paginated task inbox, golden-record detail, source/provenance views and visible operation states in existing APX app",LM-006;LM-007;LM-008;LM-009,Steward completes two-source review on desktop/mobile; provenance and stale revision conflicts are understandable; no unbounded table reads,LF08;E05,app/src/lakematch_review/ui/;app/src/lakematch_review/backend/,proposed_not_started
